bus_stop_id	service_names	service_count
1031	25, 26, 28, 29, 30	5
1032	25, 26, 27, 29, 30	5
1033	25, 26, 27, 29, 30	5
1034	10, 28	2
1035	10, 28	2
1036	25, 26, 28, 29, 30	5
1037	27	1
1038	27	1
1039	12, 29, 38	3
1040	12, 29, 38	3
1041	14, 26, 27	3
1042	14, 26, 27	3
1043	60	1
1044	60	1
1047	12, 29, 38	3
1048	12, 29, 38	3
1049	14, 26, 27, 60	4
1050	14, 26, 27, 60	4
1051	12, 29, 38	3
1052	12, 29, 38	3
1053	10, 18, 32	3
1054	1, 10, 18, 32	4
1055	14, 26, 27, 60	4
1056	14, 26, 27, 60	4
1057	12, 29, 38	3
1058	12, 29, 38	3
1059	14, 26, 27, 60	4
1060	14, 26, 27, 60	4
1061	11, 35, 37, 41	4
1062	11, 35, 37, 41	4
1065	29, 38	2
1066	29, 38	2
1067	10, 12, 18, 32	4
1068	10, 12, 18, 32	4
1069	1, 10, 18, 32	4
1070	14, 26, 27, 60	4
1071	14, 26, 27, 60	4
1072	10, 18, 32	3
1073	12, 18, 30, 32	4
1074	12, 18, 30, 32	4
1075	14, 26, 27, 29, 38, 42, 6	7
1076	10, 12, 18, 32	4
1077	10, 12, 18, 32	4
1078	14, 26, 27, 29, 38, 42, 6	7
1079	14, 26, 27, 29, 38, 42, 6	7
1080	29, 38	2
1081	12, 18, 30, 32	4
1082	14, 26, 27, 29, 38, 42, 6	7
1083	14, 26, 27, 29, 38, 42, 6	7
1086	14, 26, 27, 42, 6	5
1087	14, 26, 27, 42, 6	5
1088	14, 26, 27, 42, 6	5
1089	14, 26, 27, 42, 6	5
1090	14, 26, 27, 42, 6	5
1094	21, 22	2
1096	17, 21, 22	3
1097	17, 22, 54	3
1098	17, 22, 54	3
1099	17, 22	2
1100	17, 22	2
1101	17, 21	2
1102	17, 21	2
1103	17, 22, 54	3
1104	17, 22, 54	3
1105	54	1
1106	54	1
1107	54	1
1108	54	1
1109	17, 22, 54	3
1110	17, 22, 54	3
1111	54	1
1112	54	1
1113	54	1
1114	54	1
1115	54	1
1116	54	1
1121	16, 20, 22, 23, 54, 61	6
1122	16, 20, 22, 23, 54, 61	6
1123	22, 61	2
1124	22, 61	2
1125	16, 17, 20, 22, 23, 54, 61	7
1126	16, 17, 20, 22, 23, 54, 61	7
1127	54	1
1128	54	1
1129	54	1
1130	22, 61	2
1131	22, 61	2
1132	16, 20, 23, 54	4
1133	16, 20, 23	3
1134	22, 61	2
1135	22, 61	2
1138	22, 61	2
1139	22, 61	2
1144	16, 20, 23, 54	4
1145	16, 20, 23	3
1146	54	1
1148	16, 20, 23	3
1149	16, 20, 23	3
1152	16, 20, 23	3
1153	16, 20, 23	3
1154	16, 20, 23	3
1155	16, 20, 23	3
1156	16, 20, 23	3
1157	16, 20, 23	3
1160	19, 20, 23, 38, 40	5
1161	19, 20, 23, 38, 40	5
1162	19, 20, 23, 38, 40	5
1163	19, 20, 23, 38, 40	5
1164	19, 20, 23, 38, 40	5
